Cadernos,Lápis,Canetas,Borrachas,Apontadores,Réguas,Tesouras,Colas,Papéis,Pastas
12,4,28,17,1,9,25,6,13,30
18,5,23,12,29,15,8,3,27,7
22,10,19,26,5,14,30,18,21,2
8,16,4,9,24,11,6,22,17,1
27,2,13,19,30,10,8,5,23,14
7,25,11,21,6,20,15,9,18,3
10,17,2,28,25,4,29,11,16,30
13,8,27,14,22,6,1,20,19,5
24,30,9,7,15,3,26,18,10,12
5,19,20,13,4,28,7,9,25,16
16,23,3,17,21,8,20,1,30,24
9,12,18,26,14,5,4,22,7,10
29,27,10,3,8,25,19,15,12,6
6,14,22,5,23,7,2,9,11,28
1,11,25,18,30,12,27,24,3,15
20,6,17,29,13,2,9,10,8,19
11,28,16,7,24,15,5,3,22,30
23,3,21,10,18,8,13,25,14,4
19,20,9,6,11,17,30,1,26,12
8,25,4,27,22,9,5,28,2,19
30,14,8,20,1,11,7,26,24,13
4,18,5,12,16,29,3,15,28,9
7,22,15,17,20,25,9,30,6,11
25,9,26,4,10,7,21,2,17,14
17,1,30,19,5,8,24,11,16,3
22,7,2,9,12,26,10,28,20,25
5,13,28,6,21,3,9,30,14,18
9,18,4,22,11,23,27,7,12,2
14,19,6,25,10,9,20,15,3,30
12,2,29,17,28,13,8,19,11,7
16,11,8,27,22,14,4,10,5,23
7,20,25,2,18,30,9,6,12,15
13,9,17,8,11,24,5,19,27,28
10,23,3,12,26,20,14,7,9,16
25,6,30,4,17,15,2,28,11,13
19,10,8,21,6,25,5,27,4,18
28,14,1,19,23,30,11,8,24,7
15,9,22,6,10,3,27,18,5,12
17,4,25,8,28,11,6,9,13,20
2,27,14,23,5,19,15,7,10,30
18,12,29,4,22,8,24,11,9,16
6,10,3,27,20,25,19,17,28,2
11,8,24,15,9,13,4,26,7,20
13,16,9,10,5,2,30,19,25,14
7,11,6,28,12,17,8,23,15,9
25,9,10,5,27,14,3,20,11,22
9,30,13,17,24,6,2,8,29,12
22,18,15,7,11,19,30,9,25,4
4,20,6,25,10,3,14,16,9,21
10,5,19,23,7,18,8,12,28,2
